c_personid,name_A,c_merged_from_personid,name_B,need_check,source,notes
1227,劉湜,464155,劉湜,,None,"吉州|吉水|吉州吉水縣人|熙寧九年登進士第。《萬曆吉安府志》卷五《選舉•進士 •宋》，《光緒吉安府志》卷二一《選舉志•進士 •宋》，《光緒江西通志》卷二一《選舉表•宋進士》。,,337,21"
25199,張鎮,96648,張鎮,,None,据出处《宋福建路郡守年表》，字仲甫，三山人，淳熙壬子进士...；此节录实大谬，原引《民国福建通志》，然福建通志《金石》卷十二已经考证了，说《宋诗纪事拾遗》引《中兴馆阁实录》云云，然考淳熙十二年壬子无举进士科，其为绍定五年，故此张镇其实与25199为同一人。
562906,王沂,562922,王沂,,None,所錄信息，出處，備註一樣，不過562922多了一項社會關係，應是錄重了
39466,朱牧,482475,朱牧,,None,by PKU team
41113,李濬,507724,李濬,,None,從官名知秦州，疑出處《直隸泰州新志》這本書出處系統有誤，經查，無直隸泰州，僅有《直隸秦州新志》，且後者書中有李濬知泰州記錄，但前者無。而從《直隸秦州新志》也可知李濬字德淵，冀州信都人
27048,徐嘉言,43058,徐嘉言,,None,據《攻媿集》和《浪語集》，為迪功郎，溫州州學教授\n由於27048的出處《宋人傳記資料索引》出處《宋詩紀事小傳補正》，查後者又可看到徐嘉言有出處《浪語集》
7092,魏憲,468893,魏憲,,None,查系統出處，《江南通志》中魏憲字令則，吳江人，與ID7092為同一人；未消歧
46735,張深,507716,張深,,None,"据出处《直隶秦州新志》，“金人既得秦州，經畧使張深遣熙河副總管劉惟輔率兵禦之”，\n又据《宋川陕大郡守臣易替考》，P386靖康二年张深条，“《要录》卷一:(建炎正月甲寅)环庆经略使王似、熙河经略使王倚各以兵来会,而泾原经略使席贡、鄜延经略使张深皆不至。”\n同书卷五:“(建炎元年五月壬辰)龙图阁待制、知延安府张深充龙图阁直学士、知京兆府。”\n又P554张深条“《续通鉴》卷九八:(建炎元年五月壬辰)张深充龙图阁直学士、知熙州。”\n《要录》卷五:“(建炎元年五月壬辰)龙图阁待制、知延安府张深充龙图阁直学士、知京兆府。深时将勤王兵来卫,故就用之。后十馀日,深人辞,乃移深知熙州。"
40258,陳埴,47493,陳埴,,None,按《宋人傳記資料索引》，估計引的是《宋元學案》，據人物關係學生車安行，與47493應為一人
38180,王珏,97960,None,need_check,None,仕宦經曆：太學博士，（權）知台州，查出處《宋兩浙路郡守年表》，字叔寶，咸淳進士，仙居人（元豐九域志中有隸兩浙或淮南西路），與38180應為一人
42145,林坰,97305,林坰,,None,據出處《永樂大典》《武陵郡圖經志》稱林司業坰創，嘉定十六（1223）-寶慶元年（1225）有任職記錄，其他關於常德郡知州林坰者信息較少，又考42145林坰字宗鲁者，《淳熙三山志》曾任過国子司业，官至湖北提刑，疑為一人
51836,劉澤,469632,劉澤,,None,出處《江南通志》，由於與賈仲和並列，記為“知揚州”，疑與51836同一人
55,陳繹,468758,陳繹,,None,洛陽人，慶曆初進士\n《宋史》本傳，“元豐初，知廣州。庫有檀香佛像，繹以木易之。事覺，有司當爲官物有剩利。帝曰：“是以事佛麗重典矣。”時繹已加龍圖閣待制、知江寧府，乃貶建昌軍，奪其職。”\n《蘇魏公集》墓志：“上賜詔書奬諭官制行改太中大夫尨圖閣待制知江寕府踰年左迁中大夫知建昌軍”。\n據《江南通志》，為江寧府知府\n據55生平，有知江寧府經歷，疑為一人
74694,莊詵男,360969,莊詵男,,None,莊詵男，入仕方式為同一人
128707,芮善,361073,芮善,,None,芮善，入仕方式為同一人
221319,吳嶔,307498,吳嶔,,None,吳嶔，基本信息在方志中為同一個人
15159,李栖筠,160196,李棲筠,need_check,None,李栖筠，根据亲属关系（子 李吉甫、孙 李德裕）和官职（御史大夫）判断，这两人应为同一人
90979,蔡元宸,363225,蔡元宸,,None,蔡元宸，基本信息在方志中為同一個人
76612,楊大鶴,364912,楊大鶴,,None,楊大鶴，基本信息在方志中為同一個人
76612,楊大鶴,499931,楊大鶴,,None,楊大鶴，基本信息在方志中為同一個人
73461,包桂,353389,包桂,,None,姓名相同，籍貫均為錢塘，指數年接近。
85398,祝元仁,356914,祝元仁,,None,祝元仁，姓名、籍貫相同。
76786,楊述曾,364835,楊述曾,,None,楊述曾，基本信息在方志中為同一個人
74712,莊朝生,361024,莊朝生,,None,莊朝生，基本信息在方志中為同一個人
88697,龔廷歷,340303,龔廷歷,,None,龔廷歷，基本信息在方志中為同一個人
55616,巢震林,350094,巢震林,,None,巢震林，基本信息在方志中為同一個人
75284,劉維烈,369461,劉維烈,,None,劉維烈，基本信息在方志中為同一個人
81628,陳玉璂,371058,陳玉璂,,None,陳玉璂，基本信息在方志中為同一個人
235747,何爾徤,349115,何爾健,need_check,None,何爾徤、何爾健為同一人
205058,劉翾,335698,劉翾,,None,籍贯相同、亲属重合
131900,楚煙,362409,楚煙,,None,楚煙，籍貫都為曹州，中進士與字為一人
